 PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
  819.8   1719    3.2  -29.7      7   0.40    262   20.0  292.4  293.8  292.5
  818.7   1730    3.1  -25.8     10   0.57    262   20.0  292.5  294.4  292.6
  817.6   1741    3.0  -23.9     12   0.68    262   20.0  292.5  294.7  292.6
  816.5   1751    2.9  -22.3     14   0.79    262   20.0  292.5  295.1  292.7
  815.4   1762    2.8  -21.9     14   0.81    262   20.0  292.5  295.1  292.7
  814.2   1774    2.7  -21.4     15   0.85    262   20.0  292.5  295.3  292.7
  813.0   1786    2.6  -20.4     16   0.93    262   20.0  292.5  295.5  292.7
  811.8   1798    2.6  -19.5     18   1.01    263   20.0  292.6  295.9  292.8
  810.6   1810    2.6  -19.8     17   0.98    263   20.0  292.7  295.9  292.9
  809.4   1822    2.5  -20.2     17   0.95    263   20.1  292.8  295.8  293.0
  808.2   1834    2.4  -21.0     16   0.89    264   20.1  292.8  295.7  293.0
  807.1   1846    2.3  -21.9     15   0.82    264   20.1  292.9  295.5  293.0
  806.0   1856    2.3  -22.9     14   0.75    264   20.1  292.9  295.3  293.0
  804.9   1868    2.2  -23.8     13   0.69    265   20.2  293.0  295.2  293.1
  803.8   1878    2.2  -24.1     12   0.68    265   20.2  293.1  295.3  293.2
  802.7   1888    2.2  -26.4     10   0.55    265   20.2  293.2  295.0  293.2
  801.7   1900    2.1  -30.3      7   0.39    265   20.2  293.2  294.5  293.3
  800.6   1911    2.1  -29.6      7   0.41    265   20.3  293.3  294.7  293.4
  800.0   1916    2.1  -28.6      8   0.45    266   20.3  293.4  294.9  293.4
  799.5   1921    2.1  -27.9      9   0.48    266   20.3  293.4  295.0  293.5
  798.5   1931    2.0  -26.1     10   0.57    266   20.3  293.4  295.3  293.5
  797.4   1942    1.9  -23.1     14   0.75    266   20.3  293.4  295.8  293.5
  796.3   1953    1.8  -23.6     13   0.72    266   20.3  293.5  295.8  293.6
  795.3   1964    1.8  -26.7     10   0.54    266   20.4  293.5  295.3  293.6
  794.2   1976    1.8  -34.2      5   0.27    266   20.4  293.6  294.5  293.7
  793.0   1986    1.7  -38.4      3   0.18    267   20.4  293.7  294.3  293.8
  791.9   1998    1.7  -36.9      4   0.21    267   20.4  293.8  294.5  293.8
  790.7   2012    1.7  -34.9      5   0.25    267   20.4  293.9  294.8  293.9
  789.5   2024    1.7  -29.6      8   0.42    267   20.5  294.0  295.4  294.1
  788.4   2035    1.6  -26.2     11   0.57    267   20.5  294.1  296.0  294.2
  787.3   2045    1.5  -26.1     11   0.58    268   20.5  294.1  296.0  294.2
  786.2   2056    1.4  -25.7     11   0.60    268   20.5  294.1  296.1  294.2
  785.2   2066    1.4  -24.6     12   0.66    268   20.4  294.2  296.4  294.4
  784.1   2078    1.4  -25.8     11   0.60    268   20.4  294.3  296.3  294.4
  783.0   2089    1.3  -26.9     10   0.54    268   20.4  294.4  296.2  294.5
  781.9   2102    1.3  -28.1      9   0.48    268   20.4  294.4  296.0  294.5
  780.8   2112    1.2  -28.8      9   0.45    269   20.4  294.4  295.9  294.5
  779.7   2122    1.1  -29.4      8   0.43    269   20.4  294.4  295.9  294.5
  778.6   2134    1.0  -30.0      8   0.41    269   20.5  294.5  295.9  294.6
  777.5   2146    1.0  -31.6      7   0.35    269   20.5  294.5  295.7  294.6
  776.4   2156    0.9  -33.4      6   0.30    270   20.6  294.6  295.6  294.7
  775.3   2169    0.9  -37.0      4   0.21    270   20.7  294.7  295.4  294.7
  774.2   2181    0.8  -40.7      3   0.14    270   20.8  294.8  295.3  294.8
  773.0   2191    0.8  -41.3      3   0.13    271   21.0  294.9  295.4  294.9
  771.9   2203    0.9  -41.4      3   0.13    271   21.1  295.0  295.5  295.1
  770.7   2216    0.8  -41.3      3   0.13    272   21.3  295.1  295.6  295.1
  769.6   2228    0.7  -40.2      3   0.15    272   21.5  295.2  295.7  295.2
  768.4   2241    0.7  -39.7      3   0.16    272   21.7  295.2  295.8  295.2
  767.4   2251    0.6  -40.0      3   0.15    273   21.9  295.2  295.8  295.3
  766.3   2262    0.5  -40.4      3   0.15    273   22.0  295.3  295.8  295.3
  765.2   2273    0.5  -40.5      3   0.15    273   22.2  295.4  296.0  295.5
  764.2   2285    0.5  -40.4      3   0.15    274   22.3  295.5  296.1  295.6
  763.1   2296    0.5  -40.6      3   0.15    274   22.5  295.6  296.1  295.6
  762.0   2308    0.4  -40.2      3   0.15    274   22.6  295.6  296.2  295.7
  760.9   2319    0.3  -41.1      3   0.14    274   22.6  295.7  296.2  295.7
  759.9   2330    0.3  -41.9      2   0.13    275   22.7  295.7  296.2  295.7
  758.9   2339    0.2  -42.4      2   0.12    275   22.7  295.7  296.2  295.8
  757.9   2349    0.2  -43.2      2   0.11    275   22.7  295.9  296.3  295.9
  756.8   2361    0.2  -43.2      2   0.11    275   22.7  296.0  296.4  296.0
  755.7   2373    0.2  -42.8      2   0.12    275   22.7  296.1  296.6  296.2
  754.6   2384    0.2  -40.0      3   0.16    275   22.6  296.2  296.8  296.2
  753.4   2398    0.1  -33.0      6   0.32    276   22.6  296.3  297.4  296.3
  752.3   2410    0.0  -29.9      8   0.43    276   22.5  296.3  297.8  296.4
  751.1   2423   -0.1  -30.3      8   0.41    276   22.5  296.3  297.7  296.4
  750.0   2434   -0.2  -30.8      8   0.39    276   22.5  296.4  297.7  296.4
  748.9   2446   -0.3  -31.2      8   0.38    277   22.4  296.4  297.7  296.4
  747.8   2457   -0.3  -31.6      7   0.36    277   22.4  296.4  297.7  296.5
  746.7   2470   -0.4  -32.9      6   0.32    277   22.4  296.5  297.6  296.6
  745.5   2483   -0.4  -32.2      7   0.35    277   22.4  296.6  297.8  296.6
  744.4   2493   -0.5  -31.5      8   0.37    278   22.5  296.6  297.9  296.7
  743.3   2506   -0.6  -31.2      8   0.38    278   22.5  296.6  297.9  296.7
  742.1   2518   -0.7  -30.6      8   0.40    278   22.5  296.6  298.0  296.7
  741.0   2532   -0.8  -31.4      8   0.37    279   22.6  296.7  297.9  296.7
  739.9   2542   -0.9  -34.4      6   0.28    279   22.6  296.7  297.7  296.8
  738.8   2554   -1.0  -36.3      5   0.23    279   22.7  296.8  297.6  296.8
  737.7   2566   -1.0  -35.8      5   0.25    279   22.7  296.8  297.7  296.9
  736.6   2578   -1.1  -35.4      5   0.26    280   22.8  296.8  297.7  296.9
  735.6   2588   -1.2  -35.8      5   0.25    280   22.8  296.9  297.8  297.0
  734.5   2601   -1.3  -34.4      6   0.28    280   22.9  296.9  297.9  297.0
  733.3   2614   -1.4  -33.2      7   0.32    281   22.9  296.9  298.0  297.0
  732.2   2625   -1.5  -32.8      7   0.33    281   22.9  296.9  298.1  297.0
  731.0   2639   -1.6  -32.6      7   0.34    281   22.9  296.9  298.1  297.0
  729.8   2653   -1.7  -32.5      7   0.34    282   22.9  297.0  298.1  297.0
  728.7   2664   -1.8  -30.8      9   0.40    282   22.9  297.0  298.4  297.0
  727.6   2676   -2.0  -27.8     12   0.54    282   22.9  297.0  298.8  297.1
  726.4   2688   -2.1  -27.0     13   0.58    282   22.8  297.0  298.9  297.1
  725.3   2700   -2.2  -26.8     13   0.59    282   22.8  297.0  299.0  297.1
  724.2   2714   -2.3  -25.2     15   0.69    282   22.8  297.0  299.2  297.1
  723.1   2725   -2.5  -24.2     17   0.75    282   22.8  297.0  299.4  297.1
  722.0   2736   -2.6  -23.7     18   0.78    282   22.9  297.0  299.5  297.1
  721.0   2749   -2.7  -21.4     22   0.96    282   22.9  296.9  300.1  297.1
  719.9   2760   -2.8  -20.8     24   1.01    281   22.9  297.0  300.2  297.1
  718.9   2771   -2.9  -21.1     23   0.99    281   23.0  297.0  300.2  297.2
  717.8   2783   -3.0  -21.4     23   0.97    281   23.0  297.0  300.2  297.2
  716.8   2795   -3.1  -21.6     23   0.95    281   23.1  297.0  300.1  297.2
  715.7   2807   -3.2  -21.7     22   0.94    281   23.2  297.0  300.1  297.2
  714.6   2818   -3.3  -21.9     22   0.93    280   23.2  297.0  300.1  297.2
  713.5   2830   -3.4  -22.9     21   0.85    280   23.3  297.0  299.8  297.2
