#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.72858  0.67692 -0.02606 -0.90419  0.001291  0.000484  0.000591     2.669
   1.74340  0.69168 -0.02473 -0.90371  0.001304  0.000490  0.000593     2.658
   1.75822  0.70644 -0.02343 -0.90337  0.001314  0.000497  0.000596     2.646
   1.77302  0.72119 -0.02214 -0.90313  0.001325  0.000503  0.000599     2.635
   1.78783  0.73594 -0.02087 -0.90302  0.001334  0.000509  0.000604     2.623
   1.80262  0.75068 -0.01963 -0.90302  0.001342  0.000514  0.000608     2.611
   1.81742  0.76542 -0.01840 -0.90308  0.001351  0.000519  0.000612     2.600
   1.83221  0.78016 -0.01719 -0.90326  0.001358  0.000524  0.000617     2.589
   1.84699  0.79490 -0.01601 -0.90355  0.001364  0.000529  0.000622     2.577
   1.86177  0.80964 -0.01484 -0.90387  0.001371  0.000534  0.000626     2.567
   1.87654  0.82436 -0.01370 -0.90433  0.001377  0.000539  0.000632     2.556
   1.89130  0.83908 -0.01258 -0.90474  0.001384  0.000543  0.000634     2.548
   1.90603  0.85377 -0.01148 -0.90537  0.001388  0.000547  0.000641     2.537
   1.92073  0.86842 -0.01040 -0.90586  0.001396  0.000552  0.000642     2.531
   1.93535  0.88301 -0.00935 -0.90651  0.001401  0.000555  0.000646     2.522
   1.94986  0.89748 -0.00832 -0.90713  0.001408  0.000559  0.000648     2.516
   1.96418  0.91177 -0.00732 -0.90777  0.001414  0.000563  0.000650     2.509
   1.97821  0.92577 -0.00636 -0.90842  0.001420  0.000567  0.000651     2.504
   1.99181  0.93933 -0.00544 -0.90889  0.001429  0.000571  0.000648     2.503
   2.00479  0.95228 -0.00457 -0.90935  0.001438  0.000575  0.000645     2.502
   2.01695  0.96442 -0.00377 -0.90957  0.001450  0.000579  0.000638     2.505
   2.02813  0.97557 -0.00304 -0.90978  0.001461  0.000583  0.000631     2.508
   2.03822  0.98564 -0.00239 -0.91000  0.001470  0.000586  0.000627     2.509
   2.04720  0.99461 -0.00181 -0.90948  0.001493  0.000591  0.000605     2.527
   2.05261  1.00000 -0.00147 -0.91536  0.001385  0.000576  0.000781     2.403
   2.05261  1.00010 -0.00001  0.91536  0.024330  0.008094  0.000000     3.006
   2.05801  1.00547 -0.00051  0.91135  0.023733  0.008271  0.000000     2.870
   2.06412  1.01157 -0.00097  0.90975  0.022864  0.008341  0.000000     2.741
   2.07105  1.01848 -0.00143  0.90880  0.021895  0.008382  0.000000     2.612
   2.07889  1.02631 -0.00190  0.90839  0.020846  0.008399  0.000000     2.482
   2.08778  1.03519 -0.00236  0.90866  0.019737  0.008388  0.000000     2.353
   2.09785  1.04525 -0.00282  0.90972  0.018587  0.008346  0.000000     2.227
   2.10926  1.05665 -0.00327  0.91165  0.017421  0.008273  0.000000     2.106
   2.12218  1.06957 -0.00370  0.91449  0.016265  0.008170  0.000000     1.991
   2.13682  1.08420 -0.00410  0.91818  0.015146  0.008041  0.000000     1.884
   2.15341  1.10078 -0.00445  0.92261  0.014086  0.007894  0.000000     1.784
   2.17220  1.11957 -0.00473  0.92759  0.013103  0.007737  0.000000     1.694
   2.19348  1.14085 -0.00493  0.93291  0.012207  0.007577  0.000000     1.611
   2.21759  1.16496 -0.00501  0.93836  0.011402  0.007420  0.000000     1.537
   2.24491  1.19228 -0.00493  0.94379  0.010686  0.007272  0.000000     1.469
   2.27585  1.22322 -0.00466  0.94904  0.010054  0.007135  0.000000     1.409
   2.31091  1.25827 -0.00413  0.95405  0.009498  0.007009  0.000000     1.355
   2.35062  1.29798 -0.00330  0.95876  0.009010  0.006895  0.000000     1.307
   2.39561  1.34295 -0.00209  0.96315  0.008585  0.006792  0.000000     1.264
   2.44657  1.39389 -0.00041  0.96722  0.008213  0.006700  0.000000     1.226
   2.50431  1.45158  0.00183  0.97096  0.007890  0.006617  0.000000     1.192
   2.56972  1.51692  0.00476  0.97438  0.007611  0.006544  0.000000     1.163
   2.64381  1.59092  0.00851  0.97751  0.007371  0.006478  0.000000     1.138
   2.72775  1.67473  0.01324  0.98033  0.007166  0.006420  0.000000     1.116
   2.82285  1.76964  0.01912  0.98287  0.006992  0.006368  0.000000     1.098
   2.93057  1.87712  0.02637  0.98513  0.006845  0.006323  0.000000     1.082
   3.05261  1.99883  0.03522  0.98758  0.006712  0.006275  0.000000     1.070
