[Name]
Series 1 at /POLYLINE:airfoil

[Data]
X [ m ],h [ W m^-2 ]
1.77178197e-02, -5.54506287e+02
1.71714611e-02, -5.47732605e+02
1.66184753e-02, -5.41460571e+02
1.60588138e-02, -5.35177551e+02
1.54923731e-02, -5.29176697e+02
1.49190025e-02, -5.23123718e+02
1.43386461e-02, -5.17706360e+02
1.37512218e-02, -5.13060303e+02
1.31567344e-02, -5.08850922e+02
1.25556691e-02, -5.05341003e+02
1.19488351e-02, -5.02075012e+02
1.13369599e-02, -4.99239136e+02
1.07207345e-02, -4.96695557e+02
1.01008555e-02, -4.94603760e+02
9.47802048e-03, -4.92971802e+02
8.85287020e-03, -4.91878174e+02
8.22584610e-03, -4.89217102e+02
7.59710371e-03, -4.85874939e+02
6.96675340e-03, -4.81461670e+02
6.33493019e-03, -4.76594971e+02
5.70175517e-03, -4.77932129e+02
5.38443029e-03, -4.73683228e+02
5.06681064e-03, -4.73012512e+02
4.74891486e-03, -4.72872803e+02
4.43075690e-03, -4.71773071e+02
4.11235169e-03, -4.70988342e+02
3.79368803e-03, -4.70359955e+02
3.47466604e-03, -4.68047791e+02
3.15514882e-03, -4.62907379e+02
2.83499924e-03, -4.57061157e+02
2.51419446e-03, -4.59685730e+02
2.19340133e-03, -4.72973938e+02
1.87361846e-03, -4.91496399e+02
1.55594409e-03, -5.28234375e+02
1.24607550e-03, -5.93252625e+02
9.57472832e-04, -6.70240356e+02
7.04973878e-04, -7.29124634e+02
4.92183084e-04, -7.68144592e+02
3.16819118e-04, -8.01458923e+02
1.76186091e-04, -8.51388489e+02
6.97391661e-05, -8.41548706e+02
-1.13698832e-06, -8.38537476e+02
9.13458371e-06, -7.82483093e+02
8.14504601e-05, -7.34458618e+02
1.88511272e-04, -7.24193481e+02
3.12563585e-04, -7.48763550e+02
4.58774099e-04, -7.66960388e+02
6.37591525e-04, -7.66586121e+02
8.58152169e-04, -7.44467590e+02
1.11645553e-03, -7.25305664e+02
1.39756035e-03, -7.39592468e+02


