[Name]
Series 1 at airfoil

[Data]
X [ m ],h [ W m^-2 ]
1.01008555e-02, -4.93604340e+02
9.47802048e-03, -4.90658844e+02
8.85287020e-03, -4.87896179e+02
8.22584610e-03, -4.84388916e+02
7.59710371e-03, -4.80875366e+02
6.96675340e-03, -4.77119598e+02
6.33493019e-03, -4.72695984e+02
5.70175517e-03, -4.65962372e+02
5.38443029e-03, -4.61026276e+02
5.06681064e-03, -4.62554230e+02
4.74891486e-03, -4.60383667e+02
4.43075690e-03, -4.58930542e+02
4.11235169e-03, -4.58440826e+02
3.79368803e-03, -4.58227875e+02
3.47466604e-03, -4.58938568e+02
3.15514882e-03, -4.59408386e+02
2.83499924e-03, -4.60846161e+02
2.51419446e-03, -4.65917328e+02
2.19340133e-03, -4.77449829e+02
1.87361846e-03, -4.89391144e+02
1.55594409e-03, -5.16941772e+02
1.24607550e-03, -5.76926819e+02
9.57472832e-04, -6.44001465e+02
7.04973878e-04, -6.93875305e+02
4.92183084e-04, -7.24520752e+02
3.16819118e-04, -7.48903381e+02
1.76186091e-04, -7.96767761e+02
6.97391661e-05, -8.68027527e+02
-1.13698832e-06, -8.17049561e+02
9.13458371e-06, -7.60413330e+02
8.14504601e-05, -7.14412842e+02
1.88511272e-04, -6.99223877e+02
3.12563585e-04, -7.17467346e+02
4.58774099e-04, -7.34912659e+02
6.37591525e-04, -7.40544250e+02
8.58152169e-04, -7.23583252e+02
1.11645553e-03, -7.02279053e+02
1.39756035e-03, -7.10700867e+02


