[Name]
Series 1 at airfoil

[Data]
X [ m ],Yplus
1.07207345e-02, 2.16423705e-01
1.01008555e-02, 2.17297345e-01
9.47802048e-03, 2.17565566e-01
8.85287020e-03, 2.17540696e-01
8.22584610e-03, 2.17334598e-01
7.59710371e-03, 2.18175277e-01
6.96675340e-03, 2.17486292e-01
6.33493019e-03, 2.17716292e-01
5.70175517e-03, 2.18202382e-01
5.38443029e-03, 2.20153987e-01
5.06681064e-03, 2.20658123e-01
4.74891486e-03, 2.21315831e-01
4.43075690e-03, 2.19841570e-01
4.11235169e-03, 2.17123747e-01
3.79368803e-03, 2.13048577e-01
3.47466604e-03, 2.08106935e-01
3.15514882e-03, 2.02875629e-01
2.83499924e-03, 1.96117789e-01
2.51419446e-03, 1.89378157e-01
2.19340133e-03, 1.82499349e-01
1.87361846e-03, 1.75695121e-01
1.55594409e-03, 1.70856774e-01
1.24607550e-03, 1.69705361e-01
9.57472832e-04, 1.65588707e-01
7.04973878e-04, 1.55956894e-01
4.92183084e-04, 1.36909187e-01
3.16819118e-04, 1.05791442e-01
1.76186091e-04, 5.01970612e-02
6.97391661e-05, 8.41514096e-02
-1.13698832e-06, 1.42711520e-01
9.13458371e-06, 1.82664752e-01
8.14504601e-05, 2.08621711e-01
1.88511272e-04, 2.30189592e-01
3.12563585e-04, 2.53016710e-01
4.58774099e-04, 2.76714087e-01
6.37591525e-04, 2.97990799e-01
8.58152169e-04, 3.12807530e-01
1.11645553e-03, 3.23899508e-01
1.39756035e-03, 3.34318399e-01


