[Name]
Series 1 at airfoil

[Data]
X [ m ],Yplus
1.43386461e-02, 9.27389717e+00
1.37512218e-02, 9.28203297e+00
1.31567344e-02, 9.29657650e+00
1.25556691e-02, 9.32250977e+00
1.19488351e-02, 9.34924698e+00
1.13369599e-02, 9.37889767e+00
1.07207345e-02, 9.41008377e+00
1.01008555e-02, 9.43671513e+00
9.47802048e-03, 9.46026993e+00
8.85287020e-03, 9.46897316e+00
8.22584610e-03, 9.46909523e+00
7.59710371e-03, 9.45773411e+00
6.96675340e-03, 9.42735481e+00
6.33493019e-03, 9.39060879e+00
5.70175517e-03, 9.35689545e+00
5.38443029e-03, 9.35239887e+00
5.06681064e-03, 9.34389305e+00
4.74891486e-03, 9.27943230e+00
4.43075690e-03, 9.16454601e+00
4.11235169e-03, 8.99178505e+00
3.79368803e-03, 8.77899933e+00
3.47466604e-03, 8.52863121e+00
3.15514882e-03, 8.24582481e+00
2.83499924e-03, 7.93791628e+00
2.51419446e-03, 7.62178850e+00
2.19340133e-03, 7.32546806e+00
1.87361846e-03, 7.07230091e+00
1.55594409e-03, 6.99420500e+00
1.24607550e-03, 7.08263111e+00
9.57472832e-04, 7.06673717e+00
7.04973878e-04, 6.68195868e+00
4.92183084e-04, 5.87154341e+00
3.16819118e-04, 4.71531248e+00
1.76186091e-04, 3.26297569e+00
6.97391661e-05, 3.18734694e+00
-1.13698832e-06, 5.26022863e+00
9.13458371e-06, 6.91277504e+00
8.14504601e-05, 7.91123199e+00
1.88511272e-04, 8.70153809e+00
3.12563585e-04, 9.67962551e+00
4.58774099e-04, 1.07476864e+01
6.37591525e-04, 1.17043428e+01
8.58152169e-04, 1.23062887e+01
1.11645553e-03, 1.25698738e+01
1.39756035e-03, 1.27929153e+01


